parameter_subsection,simulator_field,provenance_class,current_status,source_dataset,source_columns,estimator,output_artefact,blocking_dependency,notes
4.4.5 `max_close_factor`,max_close_factor,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.4.6 `max_liquidations_per_step`,max_liquidations_per_step,empirical_estimation,phase2a_estimable,Phase 1C hourly liquidation panel,timestamp_utc;auctions_completed;successful_takes;unique_keepers,Regime-conditioned empirical hourly throughput distribution,liquidations/hourly_liquidation_summary.csv,,Review is required before simulator adoption.
4.5.1 `normal_lower_price`,normal_lower_price,empirical_estimation,phase2a_estimable,Phase 1A DAI price panel,dai_price_usd,Calibration-sample fifth percentile,market/dai_peg_distribution.csv,,Review is required before simulator adoption.
4.5.2 `normal_upper_price`,normal_upper_price,empirical_estimation,phase2a_estimable,Phase 1A DAI price panel,dai_price_usd,Calibration-sample ninety-fifth percentile,market/dai_peg_distribution.csv,,Review is required before simulator adoption.
4.5.3 `stress_lower_price`,stress_lower_price,empirical_estimation,phase2a_estimable,Phase 1A DAI price panel,dai_price_usd,Calibration-sample first percentile,market/dai_peg_distribution.csv,,Review is required before simulator adoption.
4.5.4 `max_normal_liquidatable_share`,max_normal_liquidatable_share,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.5.5 `max_stress_liquidatable_share`,max_stress_liquidatable_share,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.5.6 `bad_debt_panic_threshold`,bad_debt_panic_threshold,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.5.7 `normal_confidence`,normal_confidence,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.5.8 `stress_confidence`,stress_confidence,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.5.9 `panic_confidence`,panic_confidence,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.5.10 `panic_selling_multiplier`,panic_selling_multiplier,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.1 `peg_price`,peg_price,protocol_constant,protocol_constant,Phase 1D protocol parameter panel,timestamp_utc;ilk;parameter-specific effective value,Effective-dated direct protocol-state extraction,protocol/protocol_parameter_summary.csv,,Review is required before simulator adoption.
4.6.2 `price_adjustment_speed`,price_adjustment_speed,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.3 `arbitrage_strength`,arbitrage_strength,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.4 `above_peg_supply_strength`,above_peg_supply_strength,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.5 `panic_strength`,panic_strength,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.6 `noise_std`,noise_std,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.7 `min_price`,min_price,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.6.8 `max_price`,max_price,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.6.9 `enable_peg_recovery`,enable_peg_recovery,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.6.10 `arbitrage_recovery_strength`,arbitrage_recovery_strength,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.11 `policy_feedback_strength`,policy_feedback_strength,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.12 `bad_debt_recovery_drag`,bad_debt_recovery_drag,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
4.6.13 `min_recovery_confidence`,min_recovery_confidence,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
