candidate_key,phase,parameter,canonical_parameter,simulator_field,estimate_value,distribution_reference,units,frequency,regime,collateral,uncertainty,sample_size,provenance_class,source_dataset,estimator,original_status,review_status,recommended_treatment,adoption_gate,original_candidate_sha256,source_registry,source_registry_sha256,notes
phase2a:010,2A,usdc_aligned_empirical_return_blocks,4.3.1,price_path,,market/return_block_index.csv,source_row_indices,hourly,mixed,USDC,"{""candidate_block_length_hours"": 168}",26543,empirical_estimation,Phase 1A processed market panel,Aligned moving-block empirical resampling,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,801c7f4b178c1b0591ab8124717111a59c2e727b5d26b776e169218532c23621,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:011,2A,usdc_hourly_lower_tail,4.3.7,shock_size,,market/return_distribution.csv,log_return,hourly,all_calibration,USDC,See moving-block-bootstrap quantile intervals.,26543,empirical_estimation,Phase 1A processed market panel,Empirical q01 and q05 tail distribution,candidate_validated_for_review,descriptive_only,Use only to bound transparent scenario choices.,User selects a labelled scenario quantile.,12f6b12f129f8316d61212a93a8768a4626927c91338f62af04e5db8eb6a9f01,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,A selected deterministic severity remains a scenario choice. | Do not treat a historical minimum as an estimate. | A chosen shock remains an experimental design parameter.
phase2a:012,2A,two_state_regime_rule,unmapped:two_state_regime_rule,market_regime,,regimes/hourly_regimes.csv,categorical_state,hourly,normal_or_stress,system,Threshold sensitivity retained for later review.,26544,empirical_estimation,Phase 1A–1C hourly panels,At least two of six calibration-quantile conditions,candidate_validated_for_review,descriptive_only,Retain for stratification and later regime-sampler design.,Mechanics change would require separate authorisation.,ab503ce153e66b2320ba97519d495cef2f817f75266dd96b14d3e110e75c2085,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Baseline is interpretable but remains sensitivity-dependent. | The current ABM has no exogenous market-regime state.
phase2a:013,2A,dai_normal_lower_candidate,4.5.1,ConfidenceConfig.normal_lower_price,0.9992875291666665,,USD_per_DAI,hourly,calibration,DAI,Nearby-threshold sensitivity required.,26544,empirical_estimation,Phase 1A processed market panel,Registered empirical quantile,candidate_validated_for_review,provisional_sensitivity_required,Review jointly to preserve threshold ordering.,Later model-output calibration and FTX-independent validation.,72db34122d8a1c3a393804204030013908a74978f68f20b9b04b74c75c4817b1,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"Candidate is a price boundary, not an observed belief parameter. | Observed peg quantiles do not directly identify behavioural confidence."
phase2a:014,2A,dai_normal_upper_candidate,4.5.2,ConfidenceConfig.normal_upper_price,1.0030259083333335,,USD_per_DAI,hourly,calibration,DAI,Nearby-threshold sensitivity required.,26544,empirical_estimation,Phase 1A processed market panel,Registered empirical quantile,candidate_validated_for_review,provisional_sensitivity_required,Review jointly to preserve threshold ordering.,Later model-output calibration and FTX-independent validation.,2446d5fd9f9b40365f8343149cd2904900ee48678ac2054668512fb552edf0e4,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"Candidate is a price boundary, not an observed belief parameter. | Observed peg quantiles do not directly identify behavioural confidence."
phase2a:015,2A,dai_stress_lower_candidate,4.5.3,ConfidenceConfig.stress_lower_price,0.9967380166666668,,USD_per_DAI,hourly,calibration,DAI,Nearby-threshold sensitivity required.,26544,empirical_estimation,Phase 1A processed market panel,Registered empirical quantile,candidate_validated_for_review,provisional_sensitivity_required,Review jointly to preserve threshold ordering.,Later model-output calibration and FTX-independent validation.,c6880d0c6d892ae13c7336111caf8053cd162a9ef709c745a833e9b56a57c333,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"Candidate is a price boundary, not an observed belief parameter. | Observed peg quantiles do not directly identify behavioural confidence."
phase2a:016,2A,empirical_median_effective_gas_price_gwei,unmapped:empirical_median_effective_gas_price_gwei,gas_environment.median_effective_gas_price_gwei,,gas/gas_distribution.csv,gwei,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,26544,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,3f090a173ce74e585da4b36e3330d6123fdbfce460bedf41a303385f44c77c5f,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:017,2A,empirical_p90_effective_gas_price_gwei,unmapped:empirical_p90_effective_gas_price_gwei,gas_environment.p90_effective_gas_price_gwei,,gas/gas_distribution.csv,gwei,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,26544,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,de98ed2c862b2a9804f3c0951e26d956728ed9271563c9978887c83d2966e582,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:018,2A,empirical_p99_effective_gas_price_gwei,unmapped:empirical_p99_effective_gas_price_gwei,gas_environment.p99_effective_gas_price_gwei,,gas/gas_distribution.csv,gwei,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,26544,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,86b09a5642dacf32e6662be77f0dcf0679df841ba3a9c9420c4d8010771a31f9,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:019,2A,empirical_median_base_fee_gwei,unmapped:empirical_median_base_fee_gwei,gas_environment.median_base_fee_gwei,,gas/gas_distribution.csv,gwei,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,24972,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,71b3ea3bd88c0402728e8e25cdaf687fe299b20ca88d332ca2d746111edfa5b3,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:020,2A,empirical_median_priority_fee_gwei,unmapped:empirical_median_priority_fee_gwei,gas_environment.median_priority_fee_gwei,,gas/gas_distribution.csv,gwei,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,24972,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,bbf504884a60008c775c0f2f6acdb8c37dd4b98b47a960da069140bf89bfbf9e,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:021,2A,empirical_failed_transaction_share,unmapped:empirical_failed_transaction_share,gas_environment.failed_transaction_share,,gas/gas_distribution.csv,fraction,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,26544,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,b7b09ca5480b6134145e22dfe3a83eeb09f92b5c7a50ff79e3b11c55921ee7a3,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:022,2A,empirical_target_normalised_block_utilisation,unmapped:empirical_target_normalised_block_utilisation,gas_environment.target_normalised_block_utilisation,,gas/gas_distribution.csv,target_multiple,hourly,normal_and_stress,Ethereum network,Empirical q01–q99 range; no parametric fit adopted.,26544,empirical_estimation,Phase 1B processed gas panel,Regime-conditional empirical distribution,candidate_validated_for_review,descriptive_only,Use for diagnostics and for a later gas sampler if authorised.,Separate sampling-interface design.,ce0263185719eb6fdc294b023018921abf8b23d0a4554268772689c7b7722d73,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Gas environment candidate only; it is not a substitute for liquidation-specific gas units. | Gas price remains distinct from gas units and USD cost. | No current gas-environment field exists.
phase2a:023,2A,aligned_hourly_gas_market_blocks,unmapped:aligned_hourly_gas_market_blocks,gas_environment.empirical_sampling,,gas/gas_sampling_index.csv,source_hour_indices,hourly,mixed,system,"{""candidate_block_length_hours"": 168}",26543,empirical_estimation,Phase 1B joined market–gas panel,Aligned empirical block-sampling representation,candidate_validated_for_review,blocked_by_model_mapping,Retain the source-row index for a later sampler.,Authorised regime-dependent gas-sampling mechanics.,1c12d5ce7f4ce1c394c0f62e4b3242d77ca5fc7ca94ad52dc2ea6f8a9a4a31f9,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Cannot be inserted into YAML as a scalar. | Current liquidation mechanics use one fixed USD gas cost.
phase2a:024,2A,hourly_liquidation_arrival_distribution,unmapped:hourly_liquidation_arrival_distribution,liquidation.arrival_process,,liquidations/liquidation_count_models.csv,auctions_per_hour,hourly,normal_and_stress,exact_ilk_and_system,"Zero frequency, dispersion and AIC diagnostics retained.",26543,empirical_estimation,Phase 1C hourly liquidation panel,Empirical distribution with Poisson and negative-binomial benchmarks,candidate_validated_for_review,blocked_by_model_mapping,Use the decomposition if a stochastic arrival mechanism is later authorised.,Clarify whether the hurdle model is diagnostic or a mechanics extension.,d07fefc03694d32d311a99705320a8d661cdc5e7eff2d5838aa45a339d649950,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"The empirical zero-heavy representation remains primary; the count benchmarks are not automatically adopted. | The unconditional hourly q90 of volume remains zero. | Current liquidations are endogenous vault states, not an exogenous arrival process."
phase2a:025,2A,observed_auction_duration_distribution,unmapped:observed_auction_duration_distribution,liquidation.auction_duration,,liquidations/auction_distribution.csv,seconds,auction,normal_and_stress,ETH-A/B/C and WBTC-A/B/C,Empirical collateral- and regime-specific quantiles.,1132,empirical_estimation,Phase 1C auction summary,Empirical observed-duration distribution,candidate_validated_for_review,descriptive_only,Use to validate delay/capacity assumptions.,No direct adoption; mechanics change would be separate.,de2cd863b34524a158eb74e3685646ea0b7bc578c73a537098fbe102f1518ccc,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Open or unresolved lifecycles remain explicitly classified. | Observed diagnostic duration is not a settlement guarantee. | The simplified ABM has no explicit auction-duration state.
phase2a:026,2A,clean_take_transaction_gas_cost_usd,4.4.3,LiquidationConfig.gas_cost,,liquidations/liquidation_transaction_gas.csv,USD_per_top_level_transaction,transaction,calibration,ETH-A/B/C and WBTC-A/B/C,Transaction-level empirical quantiles; adoption requires review.,1287,empirical_estimation,Phase 1C transaction bridge joined to Phase 1A,Empirical clean single-Take/single-auction distribution,candidate_validated_for_review,provisional_sensitivity_required,Exclude or mark the four indeterminate zeros missing for primary estimation; retain-all as sensitivity.,Choose a documented scalar reduction and complete sensitivity review.,37b698cb42aa33ec5a441f4b4e12d5efef6ec6fd30c03308b62cc36f18e67502,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"Top-level transaction cost; gas units, gas price and USD cost remain separate. | Never replace the four zeros with the hourly median. | The model accepts one scalar while costs vary by transaction and regime."
phase2a:027,2A,observed_hourly_completion_capacity,4.4.6,LiquidationConfig.max_liquidations_per_step,,liquidations/hourly_liquidation_summary.csv,completed_auctions_per_hour,hourly,calibration,shared_system_capacity,Empirical q90/q95/q99; fixed cap remains reduced-form.,26544,empirical_estimation,Phase 1C hourly liquidation panel,Empirical throughput distribution,candidate_validated_for_review,provisional_sensitivity_required,Choose a labelled upper quantile after separating arrival from capacity.,Use active-hour throughput and Phase 1E-B exposure evidence.,0f4c9583586b2baf34f9ce02399f86a1e990d1f0e4207523fe746aa63aef713a,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,"Observed maximum is a stress diagnostic, not automatically a capacity estimate. | Unconditional quantiles are zero and do not identify capacity."
phase2a:028,2A,ETH-A_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,ETH-A,Deterministic on-chain setting; no sampling interval.,27024,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,44a1a7dfcfb8e3314eca61321bbc88c5d0f55e8e72108c98aec2cdcb83f682db,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:029,2A,ETH-B_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,ETH-B,Deterministic on-chain setting; no sampling interval.,27024,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,27e664a04b0330e58f6173dac42c32719c92c0a4a9a65eb329cba4fa926aa993,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:030,2A,ETH-C_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,ETH-C,Deterministic on-chain setting; no sampling interval.,27024,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,f51cb360e7281c1540b5af980872656a549806a60deb64f15e4fab88561f9a11,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:031,2A,WBTC-A_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,WBTC-A,Deterministic on-chain setting; no sampling interval.,27024,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,846f25e417bba572c544f6582768dc6f2ba3694fe3699c0538d625f20b6297f5,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:032,2A,WBTC-B_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,WBTC-B,Deterministic on-chain setting; no sampling interval.,22833,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,6ee3817a8e4e6a196a664425eedad22942c918eb5ee57ce9518169f7e507c0d3,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:033,2A,WBTC-C_liquidation_ratio_effective_history,4.4.1,CollateralConfig.liquidation_ratio,,protocol/protocol_parameter_summary.csv,ratio,effective_dated_hourly,historical_replay,WBTC-C,Deterministic on-chain setting; no sampling interval.,22665,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,21850d3224cd2c37984354a4b89dd8771d42f7eb802a4dde62e310df646d6b8c,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
phase2a:034,2A,ETH-A_liquidation_penalty_rate_effective_history,4.4.2,CollateralConfig.liquidation_penalty,,protocol/protocol_parameter_summary.csv,fraction_of_debt,effective_dated_hourly,historical_replay,ETH-A,Deterministic on-chain setting; no sampling interval.,27024,protocol_constant,Phase 1D hourly protocol panel,Direct effective-state extraction,candidate_validated_for_review,ready_for_later_adoption,Select the value effective at the replay or scenario baseline timestamp.,Choose and document the replay/baseline timestamp.,b2297a1f63c5dc02d89b0c2d486bbf997d7c76a179718d244c90db018b3aeab5,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,Time variation and exact-ilk identity are retained; no pooled governance average is adopted. | Never replace the effective history with an unlabelled average. | The current ABM cannot vary the setting within a run.
