parameter_subsection,parameter,simulator_field,implementing_class_or_function,current_value,current_semantics,units,timestep_frequency,representation,scope,mechanics_or_experiment,current_tests,empirical_candidate,candidate_source,uncertainty,candidate_units,candidate_frequency,latest_candidate_status,regime,collateral,primary_adoption_class,semantic_compatibility,interface_compatibility,unit_compatibility,frequency_compatibility,proposed_treatment,required_code_change,required_test,adoption_priority,adopted,notes
4.2.4,`debt_mean`,debt_mean,"SimulationConfig, CollateralConfig and vault generators",5000 DAI,Implemented runtime or experimental control for debt_mean.,DAI per vault,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:002"", ""collateral"": ""six target ilks pooled for current global scalar"", ""distribution"": ""{\""log_mean\"": 9.046254266358591, \""median\"": 20158.220211181553, \""winsorised_q99_mean\"": 212692.81791221185}"", ""parameter"": ""debt_mean"", ""regime"": ""quiet_mature"", ""status"": ""provisional_distribution_choice"", ""value"": ""468757.69960311166""}]",2B,"[304867.26935673, 673545.8994049379]",DAI per active indebted vault,opening boundary,provisional_distribution_choice,quiet_mature,six target ilks pooled for current global scalar,requires_distribution_interface,compatible subject to stated units and scope,requires_distribution_interface,compatible,compatible or not applicable,Primary: collateral-specific empirical joint resampling. Fallback: collateral-specific truncated/lognormal marginals with an explicit dependence model.,optional vault-initialisation distribution schema and sampler,"distribution fit, support, dependence, deterministic seed and ETH-only fallback tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.5,`debt_std`,debt_std,"SimulationConfig, CollateralConfig and vault generators",1000 DAI,Implemented runtime or experimental control for debt_std.,DAI per vault,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:003"", ""collateral"": ""six target ilks pooled for current global scalar"", ""distribution"": ""{\""interquartile_range\"": 91399.58045306828, \""log_std\"": 3.4429402579338264, \""winsorised_q99_std\"": 730049.0902411457}"", ""parameter"": ""debt_std"", ""regime"": ""quiet_mature"", ""status"": ""provisional_distribution_choice"", ""value"": ""4401408.323422565""}]",2B,"[2070966.7925030058, 6481807.442729119]",DAI per active indebted vault,opening boundary,provisional_distribution_choice,quiet_mature,six target ilks pooled for current global scalar,requires_distribution_interface,compatible subject to stated units and scope,requires_distribution_interface,compatible,compatible or not applicable,Primary: collateral-specific empirical joint resampling. Fallback: collateral-specific truncated/lognormal marginals with an explicit dependence model.,optional vault-initialisation distribution schema and sampler,"distribution fit, support, dependence, deterministic seed and ETH-only fallback tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.6,`collateral_ratio_mean`,collateral_ratio_mean,"SimulationConfig, CollateralConfig and vault generators",2.0,Implemented runtime or experimental control for collateral_ratio_mean.,collateral-value/debt multiple,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:004"", ""collateral"": ""six target ilks pooled for current global scalar"", ""distribution"": ""{\""log_mean\"": 1.8389113086348199, \""median\"": 4.455996923360745, \""winsorised_q99_mean\"": 11.536018781777084}"", ""parameter"": ""collateral_ratio_mean"", ""regime"": ""quiet_mature"", ""status"": ""provisional_distribution_choice"", ""value"": ""15.160134900552466""}]",2B,"[11.858675148244732, 19.562662480878174]",dimensionless collateral-value/debt multiple,opening boundary,provisional_distribution_choice,quiet_mature,six target ilks pooled for current global scalar,requires_distribution_interface,compatible subject to stated units and scope,requires_distribution_interface,compatible,compatible or not applicable,Primary: collateral-specific empirical joint resampling. Fallback: collateral-specific truncated/lognormal marginals with an explicit dependence model.,optional vault-initialisation distribution schema and sampler,"distribution fit, support, dependence, deterministic seed and ETH-only fallback tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.7,`collateral_ratio_std`,collateral_ratio_std,"SimulationConfig, CollateralConfig and vault generators",0.25,Implemented runtime or experimental control for collateral_ratio_std.,collateral-value/debt multiple,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:005"", ""collateral"": ""six target ilks pooled for current global scalar"", ""distribution"": ""{\""interquartile_range\"": 10.142708424783745, \""log_std\"": 1.0416364811994756, \""winsorised_q99_std\"": 16.668528065185914}"", ""parameter"": ""collateral_ratio_std"", ""regime"": ""quiet_mature"", ""status"": ""provisional_distribution_choice"", ""value"": ""91.15871291040759""}]",2B,"[20.676341317140803, 144.28163188155492]",dimensionless collateral-value/debt multiple,opening boundary,provisional_distribution_choice,quiet_mature,six target ilks pooled for current global scalar,requires_distribution_interface,compatible subject to stated units and scope,requires_distribution_interface,compatible,compatible or not applicable,Primary: collateral-specific empirical joint resampling. Fallback: collateral-specific truncated/lognormal marginals with an explicit dependence model.,optional vault-initialisation distribution schema and sampler,"distribution fit, support, dependence, deterministic seed and ETH-only fallback tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.8,`min_collateral_ratio_buffer`,min_collateral_ratio_buffer,"SimulationConfig, CollateralConfig and vault generators",0.05 absolute ratio points,Lower clipping floor above the liquidation ratio during synthetic vault generation.,absolute ratio difference,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:006"", ""collateral"": ""six target ilks normalised by exact threshold"", ""distribution"": ""{\""q01\"": 0.19071164996105142, \""q10\"": 0.6848860308224369, \""relative_q05\"": 0.31596227969327667, \""sample_minimum\"": 0.06540720304908132}"", ""parameter"": ""min_collateral_ratio_buffer"", ""regime"": ""quiet_mature"", ""status"": ""provisional_distribution_choice"", ""value"": ""0.4927578319238673""}, {""candidate_key"": ""phase2c:005"", ""collateral"": ""global scalar with exact-ilk review"", ""distribution"": """", ""parameter"": ""min_collateral_ratio_buffer"", ""regime"": ""quiet normal initialisation; Terra/CeFi is stress validation"", ""status"": ""ready_for_review"", ""value"": ""0.4927578319238673""}]",2B; 2C,"Phase 2B urn-cluster interval; Terra tail shown separately; [0.422144732390789, 0.5318617044495484]",absolute collateral-ratio difference; absolute dimensionless ratio above liquidation threshold,opening boundary; quiet normal initialisation; Terra/CeFi is stress validation,provisional_distribution_choice; ready_for_review,quiet normal initialisation; Terra/CeFi is stress validation; quiet_mature,global scalar with exact-ilk review; six target ilks normalised by exact threshold,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.1,`price_path`,price_path,price_process path generators and oracle-delay adapters,generated or supplied path,Exogenous collateral market/oracle path supplied to the simulation.,USD price path,per price-path step or scenario boundary,distribution/path,global,model mechanics,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,"[{""candidate_key"": ""phase2a:002"", ""collateral"": ""ETH"", ""distribution"": ""market/return_block_index.csv"", ""parameter"": ""eth_aligned_empirical_return_blocks"", ""regime"": ""mixed"", ""status"": ""provisional_sensitivity_required"", ""value"": """"}, {""candidate_key"": ""phase2a:006"", ""collateral"": ""WBTC"", ""distribution"": ""market/return_block_index.csv"", ""parameter"": ""wbtc_aligned_empirical_return_blocks"", ""regime"": ""mixed"", ""status"": ""provisional_sensitivity_required"", ""value"": """"}, {""candidate_key"": ""phase2a:010"", ""collateral"": ""USDC"", ""distribution"": ""market/return_block_index.csv"", ""parameter"": ""usdc_aligned_empirical_return_blocks"", ""regime"": ""mixed"", ""status"": ""provisional_sensitivity_required"", ""value"": """"}]",2A,"{""candidate_block_length_hours"": 168}",source_row_indices,hourly,provisional_sensitivity_required,mixed,ETH; USDC; WBTC,requires_distribution_interface,compatible subject to stated units and scope,requires_distribution_interface,compatible,requires confirmation that one simulation step is one hour,Primary: aligned 168-hour moving blocks with 72–336-hour sensitivity. Fallback: current GBM with reviewed hourly moments.,optional empirical price-process strategy,"block continuity, cross-collateral dependence, seed and GBM fallback tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.2,`mu`,mu,price_process path generators and oracle-delay adapters,0.0 per GBM time unit,Implemented runtime or experimental control for mu.,log return per model time unit,per price-path step or scenario boundary,scalar/control,global,model mechanics,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,"[{""candidate_key"": ""phase2a:000"", ""collateral"": ""ETH"", ""distribution"": """", ""parameter"": ""eth_hourly_mean"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""2.0683874929400927e-05""}, {""candidate_key"": ""phase2a:004"", ""collateral"": ""WBTC"", ""distribution"": """", ""parameter"": ""wbtc_hourly_mean"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""2.8097430039838248e-05""}, {""candidate_key"": ""phase2a:008"", ""collateral"": ""USDC"", ""distribution"": """", ""parameter"": ""usdc_hourly_mean"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""-9.961245747512497e-08""}]",2A,"{""lower"": -3.763833088654339e-06, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 4.513705105149652e-06}; {""lower"": -5.518905237844368e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.00010995592088449305}; {""lower"": -7.002320764304304e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0001188027944447265}",log_return_per_hour,hourly,provisional_sensitivity_required,all_calibration,ETH; USDC; WBTC,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,requires explicit conversion from hourly empirical moments to the configured GBM dt convention,requires confirmation that one simulation step is one hour,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.3,`sigma`,sigma,price_process path generators and oracle-delay adapters,0.80 per square-root GBM time unit,Implemented runtime or experimental control for sigma.,log return per square-root model time unit,per price-path step or scenario boundary,scalar/control,global,model mechanics,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,"[{""candidate_key"": ""phase2a:001"", ""collateral"": ""ETH"", ""distribution"": """", ""parameter"": ""eth_hourly_std"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""0.006082614959678903""}, {""candidate_key"": ""phase2a:005"", ""collateral"": ""WBTC"", ""distribution"": """", ""parameter"": ""wbtc_hourly_std"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""0.0047429127302706054""}, {""candidate_key"": ""phase2a:009"", ""collateral"": ""USDC"", ""distribution"": """", ""parameter"": ""usdc_hourly_std"", ""regime"": ""all_calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""0.0006672093036257861""}]",2A,"{""lower"": 0.00047162649675026365, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0008699284360299629}; {""lower"": 0.004423154339260324, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.005086337618791436}; {""lower"": 0.005650130832775232, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.006618243181681036}",log_return_per_sqrt_hour,hourly,provisional_sensitivity_required,all_calibration,ETH; USDC; WBTC,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,requires explicit conversion from hourly empirical moments to the configured GBM dt convention,requires confirmation that one simulation step is one hour,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.4,`dt`,dt,price_process path generators and oracle-delay adapters,1/365,Implemented runtime or experimental control for dt.,years per step in GBM,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.5,`floor_price`,floor_price,price_process path generators and oracle-delay adapters,1e-8 USD,Implemented runtime or experimental control for floor_price.,USD per collateral unit,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.6,`shock_time`,shock_time,price_process path generators and oracle-delay adapters,50 in generator; normally 30 in experiments,Implemented runtime or experimental control for shock_time.,simulation step,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.7,"`shock_size`, `shock_sizes`, `crypto_crash_size` and","shock_size, shock_sizes, crypto_crash_size and stable_depeg_size",price_process path generators and oracle-delay adapters,-0.43 crypto; -0.20 stable in multi-collateral scenarios,"Implemented runtime or experimental control for shock_size, shock_sizes, crypto_crash_size and stable_depeg_size.",proportional price change,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,"[{""candidate_key"": ""phase2a:003"", ""collateral"": ""ETH"", ""distribution"": ""market/return_distribution.csv"", ""parameter"": ""eth_hourly_lower_tail"", ""regime"": ""all_calibration"", ""status"": ""descriptive_only"", ""value"": """"}, {""candidate_key"": ""phase2a:007"", ""collateral"": ""WBTC"", ""distribution"": ""market/return_distribution.csv"", ""parameter"": ""wbtc_hourly_lower_tail"", ""regime"": ""all_calibration"", ""status"": ""descriptive_only"", ""value"": """"}, {""candidate_key"": ""phase2a:011"", ""collateral"": ""USDC"", ""distribution"": ""market/return_distribution.csv"", ""parameter"": ""usdc_hourly_lower_tail"", ""regime"": ""all_calibration"", ""status"": ""descriptive_only"", ""value"": """"}]",2A,See moving-block-bootstrap quantile intervals.,log_return,hourly,descriptive_only,all_calibration,ETH; USDC; WBTC,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.8,`pre_shock_drift` and `post_shock_drift`,pre_shock_drift and post_shock_drift,price_process path generators and oracle-delay adapters,0.0 / 0.0,Implemented runtime or experimental control for pre_shock_drift and post_shock_drift.,drift per model time unit,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.9,`recovery_start`,recovery_start,price_process path generators and oracle-delay adapters,40,Implemented runtime or experimental control for recovery_start.,simulation step,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.10,`recovery_end`,recovery_end,price_process path generators and oracle-delay adapters,90,Implemented runtime or experimental control for recovery_end.,simulation step,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.11,`recovery_fraction`,recovery_fraction,price_process path generators and oracle-delay adapters,0.5,Implemented runtime or experimental control for recovery_fraction.,fraction of shock recovered,per price-path step or scenario boundary,scalar/control,global,experimental configuration,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.3.12,`oracle_delay_steps` and `delay_steps`,oracle_delay_steps and delay_steps,price_process path generators and oracle-delay adapters,0 steps,Implemented runtime or experimental control for oracle_delay_steps and delay_steps.,simulation steps,per price-path step or scenario boundary,scalar/control,global,model mechanics,price_process.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2a_candidate_review.py,,Phase 1D mappings plus oracle documentation/literature,,,,literature_required,not regime-specific,global,literature_required,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Resolve according to primary class literature_required.,interface-specific review,"unit, semantic and backward-compatibility tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
